team1_rating,team2_rating,team1_form,team2_form,rating_difference,team1_home,team2_home,neutral_venue,team1_won_toss,toss_bat,format_test,format_odi,format_t20,weather_sunny,weather_cloudy,weather_overcast,weather_humid,pitch_batting_paradise,pitch_batting_friendly,pitch_balanced,pitch_bowling_friendly,pitch_green_seamer,pitch_spin_friendly,team1_won
80,88,7,6,-8,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
82,78,2,10,4,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
65,85,1,11,-20,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
82,78,15,15,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
88,80,2,20,8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
85,65,19,13,20,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
65,72,13,16,-7,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
88,70,2,18,18,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
85,70,5,0,15,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
88,85,3,2,3,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
68,70,19,15,-2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
85,72,18,15,13,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
65,68,1,20,-3,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
78,70,4,2,8,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
65,72,6,2,-7,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
80,82,10,9,-2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
80,68,2,2,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
70,85,15,11,-15,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
88,82,12,14,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
68,70,15,10,-2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
80,68,18,14,12,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
80,70,3,2,10,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
88,81,3,15,7,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
68,88,15,6,-20,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
68,85,16,8,-17,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
65,81,19,10,-16,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
81,78,4,7,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
68,65,5,17,3,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
